eval_id,condition_index,v_max,condition_label,method,stage,label,repeat_idx,theta_hash,query_id,cache_tag,query_total_wall_time_s,projection_linf,robustness_post_neutral_alt_drift,robustness_post_neutral_xy_drift,robustness_post_neutral_xy_velocity
35,1,1.0,v1000,structured,coarse_candidate,034_random_walk_015,0,a36c792689f7ba3b,a36c792689f7ba3b_px4_position_0_h2_structured_v1000_coarse_candidate_00035_034_random_walk_015_repeat0,h2_structured_v1000_coarse_candidate_00035_034_random_walk_015_repeat0,20.422935239999788,0.0,0.711524486541748,-0.800765198420732,-1.335587805553271
36,1,1.0,v1000,structured,coarse_candidate,035_random_block_016,0,d861bccf239b6f00,d861bccf239b6f00_px4_position_0_h2_structured_v1000_coarse_candidate_00036_035_random_block_016_repeat0,h2_structured_v1000_coarse_candidate_00036_035_random_block_016_repeat0,20.362455665017478,0.0,0.9660558700561523,-0.4745690086301808,-1.1017528736813618
37,1,1.0,v1000,structured,coarse_candidate,036_random_projected_017,0,28c1dccf8811dc2f,28c1dccf8811dc2f_px4_position_0_h2_structured_v1000_coarse_candidate_00037_036_random_projected_017_repeat0,h2_structured_v1000_coarse_candidate_00037_036_random_projected_017_repeat0,20.41650781899807,0.0,0.9872598648071289,1.8123204991502517,0.6039417305396777
38,1,1.0,v1000,structured,coarse_candidate,037_random_walk_018,0,97240333f651d264,97240333f651d264_px4_position_0_h2_structured_v1000_coarse_candidate_00038_037_random_walk_018_repeat0,h2_structured_v1000_coarse_candidate_00038_037_random_walk_018_repeat0,20.43765993398847,0.0,0.702951192855835,1.369829019597287,0.2782834181104662
39,1,1.0,v1000,structured,coarse_candidate,038_random_block_019,0,f5d0f2bdfc3870ff,f5d0f2bdfc3870ff_px4_position_0_h2_structured_v1000_coarse_candidate_00039_038_random_block_019_repeat0,h2_structured_v1000_coarse_candidate_00039_038_random_block_019_repeat0,20.270396017993335,0.0,0.28558921813964844,0.4958811383292159,-0.2984332720546139
40,1,1.0,v1000,structured,coarse_candidate,039_random_projected_020,0,b43a00839afa5286,b43a00839afa5286_px4_position_0_h2_structured_v1000_coarse_candidate_00040_039_random_projected_020_repeat0,h2_structured_v1000_coarse_candidate_00040_039_random_projected_020_repeat0,20.5704581720056,0.0,0.708979606628418,0.40540369634210593,-0.6398862012154858
41,1,1.0,v1000,structured,coarse_candidate,040_random_walk_021,0,93b5e76399c9dc16,93b5e76399c9dc16_px4_position_0_h2_structured_v1000_coarse_candidate_00041_040_random_walk_021_repeat0,h2_structured_v1000_coarse_candidate_00041_040_random_walk_021_repeat0,17.41632997902343,0.0,0.7071695327758789,-0.847782105463188,-2.061532541491197
42,1,1.0,v1000,structured,coarse_candidate,041_random_block_022,0,a9020058013a66d1,a9020058013a66d1_px4_position_0_h2_structured_v1000_coarse_candidate_00042_041_random_block_022_repeat0,h2_structured_v1000_coarse_candidate_00042_041_random_block_022_repeat0,20.39938096900005,0.0,0.5975561141967773,1.9024980588394167,0.8645631811285137
43,1,1.0,v1000,structured,coarse_candidate,042_random_projected_023,0,99a7dae570ec002c,99a7dae570ec002c_px4_position_0_h2_structured_v1000_coarse_candidate_00043_042_random_projected_023_repeat0,h2_structured_v1000_coarse_candidate_00043_042_random_projected_023_repeat0,20.36852861699299,0.0,0.9676761627197266,0.08723380867023667,-1.0672928377688757
44,1,1.0,v1000,structured,coarse_candidate,043_random_walk_024,0,1be134390055d2a7,1be134390055d2a7_px4_position_0_h2_structured_v1000_coarse_candidate_00044_043_random_walk_024_repeat0,h2_structured_v1000_coarse_candidate_00044_043_random_walk_024_repeat0,20.57163323700661,0.0,0.9047532081604004,-1.008639416546798,-1.3335277889694934
45,1,1.0,v1000,structured,coarse_candidate,044_random_block_025,0,d3da8ec253e665a3,d3da8ec253e665a3_px4_position_0_h2_structured_v1000_coarse_candidate_00045_044_random_block_025_repeat0,h2_structured_v1000_coarse_candidate_00045_044_random_block_025_repeat0,20.211458108999068,0.0,0.987144947052002,1.157288339638572,-0.2727306545153243
46,1,1.0,v1000,structured,coarse_candidate,045_random_projected_026,0,94a0ce81ec0617d0,94a0ce81ec0617d0_px4_position_0_h2_structured_v1000_coarse_candidate_00046_045_random_projected_026_repeat0,h2_structured_v1000_coarse_candidate_00046_045_random_projected_026_repeat0,20.47570051398361,0.0,0.8690671920776367,0.056597308028006,-1.1879926079811938
47,1,1.0,v1000,structured,coarse_candidate,046_random_walk_027,0,668c99873e90da5c,668c99873e90da5c_px4_position_0_h2_structured_v1000_coarse_candidate_00047_046_random_walk_027_repeat0,h2_structured_v1000_coarse_candidate_00047_046_random_walk_027_repeat0,20.446616022993112,0.0,0.4056215286254883,-1.0524776154291837,-1.0316366964940378
48,1,1.0,v1000,structured,coarse_candidate,047_random_block_028,0,6d619a8f6185d2d9,6d619a8f6185d2d9_px4_position_0_h2_structured_v1000_coarse_candidate_00048_047_random_block_028_repeat0,h2_structured_v1000_coarse_candidate_00048_047_random_block_028_repeat0,20.42684462602483,0.0,0.8730201721191406,1.289005234651496,0.3151945332035686
49,1,1.0,v1000,structured,coarse_candidate,048_random_projected_029,0,f23b753a6516fe37,f23b753a6516fe37_px4_position_0_h2_structured_v1000_coarse_candidate_00049_048_random_projected_029_repeat0,h2_structured_v1000_coarse_candidate_00049_048_random_projected_029_repeat0,20.130994872015435,0.0,0.8789095878601074,1.1065502575442683,-0.05053777833249895
50,1,1.0,v1000,structured,coarse_candidate,049_random_walk_030,0,ece6f6aee5b0d0c2,ece6f6aee5b0d0c2_px4_position_0_h2_structured_v1000_coarse_candidate_00050_049_random_walk_030_repeat0,h2_structured_v1000_coarse_candidate_00050_049_random_walk_030_repeat0,20.0756455269875,0.0,0.8956165313720703,-0.06322637452654378,-1.5886165804653611
51,1,1.0,v1000,structured,coarse_candidate,050_random_block_031,0,5af1c962775f69ca,5af1c962775f69ca_px4_position_0_h2_structured_v1000_coarse_candidate_00051_050_random_block_031_repeat0,h2_structured_v1000_coarse_candidate_00051_050_random_block_031_repeat0,20.211835153022548,0.0,0.7509169578552246,1.438424511697086,0.06933162825924288
