scope_label,platform,scenario,audit_scope,source,seed,arm,eval_id,trigger_id,theta_hash,orig_label,expected_repeats,query_repeat_rows,parsed_log_repeats,raw_ulg_repeats_without_parsed,recoverable_from_parsed_logs,recoverable_from_existing_logs,needs_resimulation
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,213.0,,e6d82f9352785ecf,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,214.0,,2bb8dff43dab1acf,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,216.0,,31bb5cc19b97433f,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,219.0,,0081641a4355c8a7,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,220.0,,9b1fc51fc821f391,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,221.0,,be2ec427329e84ba,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,225.0,,5e03f546095427d7,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,226.0,,07cb13c99e811d06,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,230.0,,f58a42ff5881e7bc,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,231.0,,a03b4fa95d47c883,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,232.0,,f1293910100bbf5d,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,233.0,,d16918906a9fccda,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,234.0,,aec082d57a938c50,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,237.0,,26ec5fac9c042525,noise_band,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,238.0,,06e3f5b3f479d040,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,direction_a,0,C,239.0,,58fb2fe932525f32,robust_violation,5,5,5,0,True,True,False
exploratory / verification,PX4,px4_position,candidate,ddmin,0,ddmin,8.0,0.0,316bc4c857f34080,noise_band,5,5,5,0,True,True,False
