cell_id,probe_label,repeat_idx,measured_axis,peak,threshold,rho,query_id,theta_hash,cache_tag,query_retry_count
G05,zero_anchor,2,tilt,0.002407697293942489,0.061086523819801536,0.05867882652585905,7b6436b0c98f6238_px4_position_0_contract_grid_G05_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G05_zero_anchor_repeat2,0
G05,zero_anchor,3,tilt,0.006514706136419602,0.061086523819801536,0.054571817683381936,7b6436b0c98f6238_px4_position_0_contract_grid_G05_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G05_zero_anchor_repeat3,0
G05,zero_anchor,4,tilt,0.0043494034671378605,0.061086523819801536,0.05673712035266368,7b6436b0c98f6238_px4_position_0_contract_grid_G05_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G05_zero_anchor_repeat4,0
G05,roll_plus_full,0,tilt,0.05152186871761659,0.061086523819801536,0.009564655102184946,b96ead7c8720e928_px4_position_0_contract_grid_G05_roll_plus_full_repeat0,b96ead7c8720e928,contract_grid_G05_roll_plus_full_repeat0,0
G05,roll_plus_full,1,tilt,0.05565189393756642,0.061086523819801536,0.005434629882235115,b96ead7c8720e928_px4_position_0_contract_grid_G05_roll_plus_full_repeat1,b96ead7c8720e928,contract_grid_G05_roll_plus_full_repeat1,0
G05,roll_plus_full,2,tilt,0.05777204176012785,0.061086523819801536,0.003314482059673683,b96ead7c8720e928_px4_position_0_contract_grid_G05_roll_plus_full_repeat2,b96ead7c8720e928,contract_grid_G05_roll_plus_full_repeat2,0
G05,roll_plus_full,3,tilt,0.06113656269277322,0.061086523819801536,-5.00388729716833e-05,b96ead7c8720e928_px4_position_0_contract_grid_G05_roll_plus_full_repeat3,b96ead7c8720e928,contract_grid_G05_roll_plus_full_repeat3,0
G05,roll_plus_full,4,tilt,0.060352923938246865,0.061086523819801536,0.000733599881554671,b96ead7c8720e928_px4_position_0_contract_grid_G05_roll_plus_full_repeat4,b96ead7c8720e928,contract_grid_G05_roll_plus_full_repeat4,0
G05,roll_minus_full,0,tilt,0.06124528781655943,0.061086523819801536,-0.00015876399675789077,efc822e18fc44e8c_px4_position_0_contract_grid_G05_roll_minus_full_repeat0,efc822e18fc44e8c,contract_grid_G05_roll_minus_full_repeat0,0
G05,roll_minus_full,1,tilt,0.06014401417589885,0.061086523819801536,0.0009425096439026892,efc822e18fc44e8c_px4_position_0_contract_grid_G05_roll_minus_full_repeat1,efc822e18fc44e8c,contract_grid_G05_roll_minus_full_repeat1,0
G05,roll_minus_full,2,tilt,0.05620118653059785,0.061086523819801536,0.004885337289203685,efc822e18fc44e8c_px4_position_0_contract_grid_G05_roll_minus_full_repeat2,efc822e18fc44e8c,contract_grid_G05_roll_minus_full_repeat2,0
G05,roll_minus_full,3,tilt,0.06075920777403542,0.061086523819801536,0.00032731604576611423,efc822e18fc44e8c_px4_position_0_contract_grid_G05_roll_minus_full_repeat3,efc822e18fc44e8c,contract_grid_G05_roll_minus_full_repeat3,0
G05,roll_minus_full,4,tilt,0.06417274379647876,0.061086523819801536,-0.0030862199766772264,efc822e18fc44e8c_px4_position_0_contract_grid_G05_roll_minus_full_repeat4,efc822e18fc44e8c,contract_grid_G05_roll_minus_full_repeat4,0
G06,zero_anchor,0,tilt,0.0015338482179540322,0.061086523819801536,0.0595526756018475,7b6436b0c98f6238_px4_position_0_contract_grid_G06_zero_anchor_repeat0,7b6436b0c98f6238,contract_grid_G06_zero_anchor_repeat0,0
G06,zero_anchor,1,tilt,0.0037102837351741,0.061086523819801536,0.05737624008462744,7b6436b0c98f6238_px4_position_0_contract_grid_G06_zero_anchor_repeat1,7b6436b0c98f6238,contract_grid_G06_zero_anchor_repeat1,0
G06,zero_anchor,2,tilt,0.0029014348438807154,0.061086523819801536,0.05818508897592082,7b6436b0c98f6238_px4_position_0_contract_grid_G06_zero_anchor_repeat2,7b6436b0c98f6238,contract_grid_G06_zero_anchor_repeat2,0
G06,zero_anchor,3,tilt,0.002301457044978689,0.061086523819801536,0.05878506677482285,7b6436b0c98f6238_px4_position_0_contract_grid_G06_zero_anchor_repeat3,7b6436b0c98f6238,contract_grid_G06_zero_anchor_repeat3,0
G06,zero_anchor,4,tilt,0.001615840541979573,0.061086523819801536,0.05947068327782196,7b6436b0c98f6238_px4_position_0_contract_grid_G06_zero_anchor_repeat4,7b6436b0c98f6238,contract_grid_G06_zero_anchor_repeat4,0
G06,pitch_plus_full,0,tilt,0.057357736992557654,0.061086523819801536,0.0037287868272438823,a08edfccf9989958_px4_position_0_contract_grid_G06_pitch_plus_full_repeat0,a08edfccf9989958,contract_grid_G06_pitch_plus_full_repeat0,0
G06,pitch_plus_full,1,tilt,0.05748673637912857,0.061086523819801536,0.0035997874406729635,a08edfccf9989958_px4_position_0_contract_grid_G06_pitch_plus_full_repeat1,a08edfccf9989958,contract_grid_G06_pitch_plus_full_repeat1,0
G06,pitch_plus_full,2,tilt,0.05049176497748314,0.061086523819801536,0.010594758842318398,a08edfccf9989958_px4_position_0_contract_grid_G06_pitch_plus_full_repeat2,a08edfccf9989958,contract_grid_G06_pitch_plus_full_repeat2,0
G06,pitch_plus_full,3,tilt,0.058155292941500104,0.061086523819801536,0.0029312308783014315,a08edfccf9989958_px4_position_0_contract_grid_G06_pitch_plus_full_repeat3,a08edfccf9989958,contract_grid_G06_pitch_plus_full_repeat3,0
