time_s,roll_deg,desroll_deg,pitch_deg,despitch_deg,rcin_c1,rcin_c2,rcin_c3,rcin_c4,rcin_c5,rcin_c6,rcin_c7,rcin_c8,rcou_c1,rcou_c2,rcou_c3,rcou_c4,rcou_c5,rcou_c6,rcou_c7,rcou_c8,alt_m,crt_m_s,tho
8.49,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.011208636686205864,3,0.0
8.59,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.011173790320754051,3,0.0
8.69,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.011084780097007751,3,0.0
8.79,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.010893008671700954,3,0.0
8.89,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.010637096129357815,3,0.0
8.99,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.01032082736492157,3,0.0
9.09,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.009955191053450108,3,0.0
9.19,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.009547298774123192,3,0.0
9.29,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.009099817834794521,3,0.0
9.39,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0086154043674469,3,0.0
9.49,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.008100507780909538,2,0.0
9.59,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.007563238497823477,2,0.0
9.69,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.007005014922469854,2,0.0
9.79,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.006432780530303717,2,0.0
9.89,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0058570061810314655,2,0.0
9.99,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0052825771272182465,2,0.0
10.09,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.004704260267317295,2,0.0
10.19,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.004119766876101494,2,0.0
10.29,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0035310925450176,2,0.0
10.39,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.002943088999018073,2,0.0
10.49,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0023578302934765816,2,0.0
10.59,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0017731565749272704,2,0.0
10.69,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0011933310888707638,2,0.0
10.79,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,0.0006371415802277625,2,0.0
10.89,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,7.024915976217017e-05,2,0.0
10.99,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,-0.0004878123290836811,1,0.0
11.09,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,-0.0010320820147171617,1,0.0
11.19,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,-0.001564969657920301,1,0.0
11.29,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,-0.0020873146131634712,1,0.0
11.39,0.01,0.0,0.0,0.0,1500,1500,1000,1500,1800,1000,1000,1800,1000,1000,1000,1000,0,0,0,0,-0.0025984859094023705,1,0.0
